acc	R1	R2
SRR2315729	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2315729/SRR2315729_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2315729/SRR2315729_2.fastq.gz
SRR2315849	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2315849/SRR2315849_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2315849/SRR2315849_2.fastq.gz
SRR2316038	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316038/SRR2316038_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316038/SRR2316038_2.fastq.gz
SRR2316105	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316105/SRR2316105_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316105/SRR2316105_2.fastq.gz
SRR2316478	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316478/SRR2316478_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/008/SRR2316478/SRR2316478_2.fastq.gz
SRR2316872	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/002/SRR2316872/SRR2316872_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/002/SRR2316872/SRR2316872_2.fastq.gz
SRR2316895	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316895/SRR2316895_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/005/SRR2316895/SRR2316895_2.fastq.gz
SRR2317109	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2317109/SRR2317109_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2317109/SRR2317109_2.fastq.gz
SRR2317489	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2317489/SRR2317489_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/009/SRR2317489/SRR2317489_2.fastq.gz
SRR1564575	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1564575/SRR1564575_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1564575/SRR1564575_2.fastq.gz
SRR1568121	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1568121/SRR1568121_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1568121/SRR1568121_2.fastq.gz
SRR1564605	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1564605/SRR1564605_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1564605/SRR1564605_2.fastq.gz
SRR1568116	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1568116/SRR1568116_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1568116/SRR1568116_2.fastq.gz
SRR1567957	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1567957/SRR1567957_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1567957/SRR1567957_2.fastq.gz
SRR1568197	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1568197/SRR1568197_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/007/SRR1568197/SRR1568197_2.fastq.gz
SRR1565149	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1565149/SRR1565149_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1565149/SRR1565149_2.fastq.gz
SRR1568176	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1568176/SRR1568176_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1568176/SRR1568176_2.fastq.gz
SRR1568808	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1568808/SRR1568808_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1568808/SRR1568808_2.fastq.gz
SRR1564700	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1564700/SRR1564700_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/000/SRR1564700/SRR1564700_2.fastq.gz
SRR1568108	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1568108/SRR1568108_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1568108/SRR1568108_2.fastq.gz
SRR1562973	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1562973/SRR1562973_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1562973/SRR1562973_2.fastq.gz
SRR1564656	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1564656/SRR1564656_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1564656/SRR1564656_2.fastq.gz
SRR1564632	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1564632/SRR1564632_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1564632/SRR1564632_2.fastq.gz
SRR1565062	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1565062/SRR1565062_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1565062/SRR1565062_2.fastq.gz
SRR1568233	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568233/SRR1568233_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568233/SRR1568233_2.fastq.gz
SRR1562872	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1562872/SRR1562872_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1562872/SRR1562872_2.fastq.gz
SRR1567991	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1567991/SRR1567991_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1567991/SRR1567991_2.fastq.gz
SRR1568119	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1568119/SRR1568119_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1568119/SRR1568119_2.fastq.gz
SRR1568124	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1568124/SRR1568124_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/004/SRR1568124/SRR1568124_2.fastq.gz
SRR1568173	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568173/SRR1568173_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568173/SRR1568173_2.fastq.gz
SRR1562939	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1562939/SRR1562939_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/009/SRR1562939/SRR1562939_2.fastq.gz
SRR1564662	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1564662/SRR1564662_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1564662/SRR1564662_2.fastq.gz
SRR1564651	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1564651/SRR1564651_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1564651/SRR1564651_2.fastq.gz
SRR1568111	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1568111/SRR1568111_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/001/SRR1568111/SRR1568111_2.fastq.gz
SRR1564606	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1564606/SRR1564606_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/006/SRR1564606/SRR1564606_2.fastq.gz
SRR1568188	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1568188/SRR1568188_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1568188/SRR1568188_2.fastq.gz
SRR1564695	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1564695/SRR1564695_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1564695/SRR1564695_2.fastq.gz
SRR1568215	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1568215/SRR1568215_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/005/SRR1568215/SRR1568215_2.fastq.gz
SRR1564608	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1564608/SRR1564608_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/008/SRR1564608/SRR1564608_2.fastq.gz
SRR1568193	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568193/SRR1568193_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/003/SRR1568193/SRR1568193_2.fastq.gz
SRR1564652	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1564652/SRR1564652_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/002/SRR1564652/SRR1564652_2.fastq.gz
